Sentence,Tagged_Sentence,BIO_tags,Animated_NP,Animated_Prob_NP,Animated_Token,Animated_Prob_Token
Wir wollen mit diesem Gesetz mal bewusst einen ganz neuen Weg ausprobieren .,[START] Wir [END] wollen mit [START] diesem Gesetz [END] mal bewusst [START] einen ganz neuen Weg [END] ausprobieren .,"['B', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O']","[1, 0, 0]",,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Dabei geht es eben nicht darum , betroffene Bürgerinnen und Bürger in ihren Mitspracherechten einzuschränken .","Dabei geht es eben nicht darum , [START] betroffene Bürgerinnen [END] und [START] Bürger [END] in [START] ihren Mitspracherechten [END] einzuschränken .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'O']","[1, 1, 0]",,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]",
Wichtig ist uns die frühzeitige Öffentlichkeitsbeteiligung .,Wichtig ist [START] uns [END] [START] die frühzeitige Öffentlichkeitsbeteiligung [END] .,"['O', 'O', 'B', 'B', 'I', 'I', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0]",
"Der Änderungsantrag , den wir im Ausschuss eingebracht haben , zeigt , dass wir genau dies gestärkt haben .","[START] Der Änderungsantrag [END] , [START] den [END] [START] wir [END] im [START] Ausschuss [END] eingebracht haben , zeigt , dass [START] wir [END] [START] genau dies [END] gestärkt haben .","['B', 'I', 'O', 'B', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O']","[0, 0, 1, 1, 1, 0]",,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",
Projekte dürfen nicht ohne oder gar gegen die Menschen geplant werden .,[START] Projekte [END] dürfen nicht ohne oder gar gegen [START] die Menschen [END] geplant werden .,"['B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",
Im Gegenteil : Die Menschen müssen miteinbezogen werden ; denn sie kennen sich mit den Verhältnissen vor Ort am besten aus .,Im [START] Gegenteil [END] : [START] Die Menschen [END] müssen miteinbezogen werden ; denn [START] sie [END] kennen [START] sich [END] mit [START] den Verhältnissen [END] vor [START] Ort [END] am besten aus .,"['O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0]",,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Man muss an der Stelle allerdings auch sagen : Die Menschen dürfen nicht einfach nur Nein sagen dürfen .,[START] Man [END] muss an [START] der Stelle [END] allerdings auch sagen : [START] Die Menschen [END] dürfen nicht einfach nur Nein sagen dürfen .,"['B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 0, 1]",,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wenn sie miteinbezogen werden , können sie zwar Nein sagen , aber dann stellt sich auch die Frage : Wie denn sonst ?","Wenn [START] sie [END] miteinbezogen werden , können [START] sie [END] zwar [START] Nein [END] sagen , aber dann stellt [START] sich [END] [START] auch die Frage [END] : Wie denn sonst ?","['O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"– Das ist aus meiner Sicht ein wichtiger Punkt , der auch in dem Handbuch steht , auf das sich meine Kollegin Frau Lühmann zu Recht bezogen hat .","– [START] Das [END] ist aus [START] meiner Sicht [END] [START] ein wichtiger Punkt [END] , der auch in [START] dem Handbuch [END] steht , auf [START] das [END] [START] sich [END] [START] meine Kollegin Frau [END] [START] Lühmann [END] zu [START] Recht [END] bezogen hat .","['O', 'B', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'B', 'B', 'I', 'I', 'B', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 1, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",
"Als Bürgermeister einer Gemeinde in Ostfriesland habe ich selber erfahren , wie es ist , wenn man zum Beispiel von einem Stromnetzbetreiber so behandelt wird , wenn nicht auf die Menschen vor Ort gehört wird und man sich einfach über sie hinwegsetzt .","Als [START] Bürgermeister [END] [START] einer Gemeinde [END] in [START] Ostfriesland [END] habe [START] ich [END] selber erfahren , wie [START] es [END] ist , wenn [START] man [END] zum [START] Beispiel [END] von [START] einem Stromnetzbetreiber [END] so behandelt wird , wenn nicht auf [START] die Menschen [END] vor [START] Ort [END] gehört wird und [START] man [END] [START] sich [END] einfach über [START] sie [END] hinwegsetzt .","['O', 'B', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'B', 'O', 'O']","[1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
Die Bürgerinnen und Bürger werden nur formal beteiligt und nicht mitgenommen .,[START] Die Bürgerinnen [END] und [START] Bürger [END] werden nur formal beteiligt und nicht mitgenommen .,"['B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1]",,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
"Am Ende sind lange Klageverfahren die Folge , und das ist für alle Beteiligten nicht gut .","Am [START] Ende [END] sind [START] lange Klageverfahren [END] [START] die Folge [END] , und [START] das [END] ist für [START] alle Beteiligten [END] nicht gut .","['O', 'B', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",
"Wenn aber die Planung mit den betroffenen Menschen erarbeitet wurde , wird es für die wenigen im Gesetz aufgeführten Maßnahmen keine Klagen durch viele Instanzen mehr geben .","Wenn aber [START] die Planung [END] mit [START] den betroffenen Menschen [END] erarbeitet wurde , wird es für [START] die wenigen [END] im [START] Gesetz [END] aufgeführten Maßnahmen [START] keine Klagen [END] durch [START] viele Instanzen [END] mehr geben .","['O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",
Künftig ist nur noch die Verfassungsklage gegen das spezielle Maßnahmengesetz möglich .,Künftig ist nur noch [START] die Verfassungsklage [END] gegen [START] das spezielle Maßnahmengesetz [END] möglich .,"['O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wir werden dieses Verfahren bei wenigen Maßnahmen ausprobieren , und es wird sich zeigen , ob dieser Weg ein sinnvoller sein wird .","[START] Wir [END] werden [START] dieses Verfahren [END] bei [START] wenigen Maßnahmen [END] ausprobieren , und [START] es [END] wird [START] sich [END] zeigen , ob [START] dieser Weg [END] ein sinnvoller sein wird .","['B', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O']","[1, 0, 0, 0, 0, 0]",,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Lüttje Stappen brengen uns mennigmaal wiede .,Lüttje [START] Stappen [END] brengen [START] uns [END] [START] mennigmaal [END] wiede .,"['O', 'B', 'O', 'B', 'B', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0]",
"Der Ausbau von Stromnetzen ist zwar nicht Gegenstand dieses Gesetzes , bringt aber die gleiche Diskussion mit sich .","[START] Der Ausbau [END] von [START] Stromnetzen [END] ist zwar nicht [START] Gegenstand [END] [START] dieses Gesetzes [END] , bringt aber [START] die gleiche Diskussion [END] mit [START] sich [END] .","['B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Verzögerungen im Stromnetzausbau , die insbesondere von Süddeutschland ausgehen , haben auch negative Auswirkungen auf Süddeutschland .","[START] Verzögerungen [END] im [START] Stromnetzausbau [END] , [START] die [END] insbesondere von [START] Süddeutschland [END] ausgehen , haben [START] auch negative Auswirkungen [END] auf [START] Süddeutschland [END] .","['B', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Herr Minister , für die alpin sozialisierten Kollegen in Ihrem Umfeld will ich das an dieser Stelle noch mal ausdrücklich betonen : Widerstand gegen Stromnetze wird für Süddeutschland teuer .","Herr [START] Minister [END] , für [START] die alpin sozialisierten Kollegen [END] in [START] Ihrem Umfeld [END] will [START] ich [END] [START] das [END] an [START] dieser Stelle [END] noch mal ausdrücklich betonen : [START] Widerstand [END] gegen [START] Stromnetze [END] wird für [START] Süddeutschland [END] teuer .","['O', 'B', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'O', 'O']","[1, 1, 0, 1, 0, 0, 0, 0, 1]",,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
"Planungsbeschleunigung ist auch hier nötig , zum Beispiel mit einem neuen Netzausbaubeschleunigungsgesetz .","[START] Planungsbeschleunigung [END] ist auch hier nötig , zum [START] Beispiel [END] mit [START] einem neuen Netzausbaubeschleunigungsgesetz [END] .","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Herr Scheuer , auch für den , der keine Leitungen will , habe ich eine Lösung ; Sie können sie Ihren Kollegen im Kabinett gerne mitgeben : Wer in Süddeutschland keine neuen Leitungen haben will , der muss einfach die Windenergie ausbauen .","Herr [START] Scheuer [END] , auch für [START] den [END] , [START] der [END] [START] keine Leitungen [END] will , habe [START] ich [END] [START] eine Lösung [END] ; [START] Sie [END] können [START] sie [END] [START] Ihren Kollegen [END] im [START] Kabinett [END] gerne mitgeben : [START] Wer [END] in [START] Süddeutschland [END] [START] keine neuen Leitungen [END] haben will [START] , der [END] muss einfach [START] die Windenergie [END] ausbauen .","['O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'O', 'B', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O']","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Denn wenn man Energie produziert , dann braucht man keine Leitungen , die die Energie dahin bringen , wo keine Energie produziert wird .","Denn wenn [START] man [END] [START] Energie [END] produziert , dann braucht [START] man [END] [START] keine Leitungen [END] , [START] die [END] [START] die Energie [END] dahin bringen , wo [START] keine Energie [END] produziert wird .","['O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[1, 0, 1, 0, 0, 0, 0]",,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wenn wir das alles machen , gibt es bei der Planung und beim Bau von Stromleitungen , aber auch bei der Planung und beim Bau von Infrastruktur- und Verkehrsleitungen keinen für alle Deutschen ärgerlichen Stau , und genau das wollen wir mit diesem Gesetz erreichen .","Wenn [START] wir [END] [START] das [END] alles machen , gibt es bei [START] der Planung [END] und beim [START] Bau [END] von [START] Stromleitungen [END] , aber auch bei [START] der Planung [END] und beim [START] Bau [END] von [START] Infrastruktur- und Verkehrsleitungen [END] keinen für alle [START] Deutschen [END] ärgerlichen Stau , und [START] genau das [END] wollen [START] wir [END] mit [START] diesem Gesetz [END] erreichen .","['O', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'O']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",
Herzlichen Dank für Ihre Aufmerksamkeit .,[START] Herzlichen Dank [END] für [START] Ihre Aufmerksamkeit [END] .,"['B', 'I', 'O', 'B', 'I', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0]",
"Der nächste Redner : der Kollege Alois Rainer , CDU / CSU-Fraktion .","[START] Der nächste Redner [END] : [START] der Kollege Alois Rainer , CDU / CSU-Fraktion [END] .","['B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']","[1, 1]",,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",
Sehr geehrter Herr Präsident !,[START] Sehr geehrter Herr Präsident [END] !,"['B', 'I', 'I', 'I', 'O']",[1],,"[1, 1, 1, 1, 0]",
Sehr geehrte Kolleginnen und Kollegen !,[START] Sehr geehrte Kolleginnen [END] und [START] Kollegen [END] !,"['B', 'I', 'I', 'O', 'B', 'O']","[1, 1]",,"[1, 1, 1, 0, 1, 0]",
Sehr geehrtes Publikum auf den Tribünen !,[START] Sehr geehrtes Publikum [END] auf [START] den Tribünen [END] !,"['B', 'I', 'I', 'O', 'B', 'I', 'O']","[1, 0]",,"[1, 1, 1, 0, 0, 0, 0]",
"Wir sprechen heute über drei Anträge , die sich mit der wirtschaftlichen Betätigung der Kommunen beschäftigen .","[START] Wir [END] sprechen heute über [START] drei Anträge [END] , [START] die [END] [START] sich [END] mit [START] der wirtschaftlichen Betätigung [END] [START] der Kommunen [END] beschäftigen .","['B', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'O', 'B', 'I', 'I', 'B', 'I', 'O', 'O']","[1, 0, 0, 0, 0, 1]",,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",
"Die beiden Anträge der Linken gehen davon aus , dass der Staat alles machen soll .","[START] Die beiden Anträge [END] [START] der Linken [END] gehen davon aus , dass [START] der Staat [END] [START] alles [END] machen soll .","['B', 'I', 'I', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'O', 'O', 'O']","[0, 1, 1, 0]",,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",
"Die Liberalen gehen davon aus , dass der Staat möglichst gar nichts machen soll .","[START] Die Liberalen [END] gehen davon aus , dass [START] der Staat [END] möglichst [START] gar nichts [END] machen soll .","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O']","[1, 1, 0]",,"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
Daneben möchte die FDP der Wirtschaft mit noch mehr Fachkräften helfen .,Daneben möchte [START] die FDP [END] [START] der Wirtschaft [END] mit [START] noch mehr Fachkräften [END] helfen .,"['O', 'O', 'B', 'I', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'O']","[1, 0, 1]",,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",
"Aus unserer Sicht sind das zwei recht extreme Positionen , zwischen denen die AfD steht .","Aus [START] unserer Sicht [END] sind [START] das zwei recht extreme Positionen [END] , zwischen [START] denen [END] [START] die AfD [END] steht .","['O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'B', 'I', 'O', 'O']","[0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",
Unserer Meinung nach muss bei der Rekommunalisierung sorgfältig differenziert werden .,[START] Unserer Meinung [END] nach muss bei [START] der Rekommunalisierung [END] sorgfältig differenziert werden .,"['B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Es gibt Bereiche , in denen ein marktorientierter Wettbewerb nicht sinnvoll und möglich oder mit zu hohen Risiken verbunden ist , zum Beispiel die Wasserversorgung .","Es gibt [START] Bereiche [END] , in [START] denen [END] [START] ein marktorientierter Wettbewerb [END] nicht sinnvoll und möglich oder mit [START] zu hohen Risiken [END] verbunden ist , zum [START] Beispiel [END] die Wasserversorgung .","['O', 'O', 'B', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Hier lehnen wir Privatisierungen kategorisch ab .,Hier lehnen [START] wir [END] [START] Privatisierungen [END] kategorisch ab .,"['O', 'O', 'B', 'B', 'O', 'O', 'O']","[1, 0]",,"[0, 0, 1, 0, 0, 0, 0]",
Ansonsten gilt : Grundsätzlich ist der Staat nicht der bessere Unternehmer .,Ansonsten gilt : Grundsätzlich ist [START] der Staat [END] nicht [START] der bessere Unternehmer [END] .,"['O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'O']","[1, 1]",,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]",
"Der Staat soll und muss nur dann eingreifen , wenn sich die freie Wirtschaft aus bestimmten Bereichen zurückzieht , die für ein menschenwürdiges Dasein notwendig sind .","[START] Der Staat [END] soll und muss nur dann eingreifen , wenn [START] sich [END] [START] die freie Wirtschaft [END] aus [START] bestimmten Bereichen [END] zurückzieht , [START] die [END] für [START] ein menschenwürdiges Dasein [END] notwendig sind .","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'O']","[1, 0, 1, 0, 0, 0]",,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wenn der Staat in den Wettbewerb mit der Wirtschaft tritt , dann muss er das zu gleichen Bedingungen tun ; alles andere ist der Beginn disruptiver Veränderungen , die letztendlich in der staatlichen Planwirtschaft enden .","Wenn [START] der Staat [END] in [START] den Wettbewerb [END] mit [START] der Wirtschaft [END] tritt , dann muss [START] er [END] [START] das [END] zu [START] gleichen Bedingungen [END] tun ; [START] alles andere [END] ist [START] der Beginn [END] [START] disruptiver Veränderungen [END] , [START] die [END] letztendlich in [START] der staatlichen Planwirtschaft [END] enden .","['O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O', 'O']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Die beiden Anträge der Linken sind vom gleichen Geist durchweht .,[START] Die beiden Anträge [END] [START] der Linken [END] sind vom [START] gleichen Geist [END] durchweht .,"['B', 'I', 'I', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 1, 0]",,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
"In beiden Anträgen geht es im Kern darum , dass die wirtschaftliche Aktivität des Staates gefördert werden soll .","In [START] beiden Anträgen [END] geht es im [START] Kern [END] darum , dass [START] die wirtschaftliche Aktivität [END] [START] des Staates [END] gefördert werden soll .","['O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'O', 'O', 'O', 'O']","[0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",
"Den Begriff der Daseinsvorsorge versteht Die Linke dabei so , dass fast alles dazugehört und somit natürlich vom Staat übernommen werden soll , einschließlich der Wohnraumversorgung .","[START] Den Begriff [END] [START] der Daseinsvorsorge [END] versteht [START] Die Linke [END] dabei so , dass [START] fast alles [END] dazugehört und somit natürlich vom [START] Staat [END] übernommen werden soll , einschließlich [START] der Wohnraumversorgung [END] .","['B', 'I', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","[0, 0, 1, 0, 1, 0]",,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
"Meine Damen und Herren , man fragt sich an dieser Stelle unwillkürlich , weshalb Die Linke gerade hier in Berlin noch vor einigen Jahren mit so viel Elan Wohnungen privatisiert hat .","[START] Meine Damen [END] und [START] Herren [END] , [START] man [END] fragt [START] sich [END] an [START] dieser Stelle [END] unwillkürlich , weshalb [START] Die Linke [END] gerade hier in [START] Berlin [END] noch vor [START] einigen Jahren [END] mit [START] so viel Elan [END] [START] Wohnungen [END] privatisiert hat .","['B', 'I', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'B', 'O', 'O', 'O']","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"– Ja , sicher .","– Ja , sicher .","['O', 'O', 'O', 'O', 'O']",[],,"[0, 0, 0, 0, 0]",
Auf der anderen Seite haben wir den Antrag der Liberalen .,Auf [START] der anderen Seite [END] haben [START] wir [END] [START] den Antrag [END] [START] der Liberalen [END] .,"['O', 'B', 'I', 'I', 'O', 'B', 'B', 'I', 'B', 'I', 'O']","[0, 1, 0, 1]",,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",
Hier möchte man der Rekommunalisierung entgegenwirken und die örtliche Wirtschaft stärken .,Hier möchte [START] man [END] [START] der Rekommunalisierung [END] entgegenwirken und [START] die örtliche Wirtschaft [END] stärken .,"['O', 'O', 'B', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'O', 'O']","[1, 0, 1]",,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",
Zur Stärkung der Wirtschaft ist dabei jedes Mittel recht .,Zur [START] Stärkung [END] [START] der Wirtschaft [END] ist dabei [START] jedes Mittel [END] [START] recht [END] .,"['O', 'B', 'B', 'I', 'O', 'O', 'B', 'I', 'B', 'O']","[0, 1, 0, 0]",,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
"So fordert der Antrag , ein Einwanderungsgesetz für mehr Fachkräfte auf den Weg zu bringen , um auf diese Weise die örtlichen Wirtschaftsbetriebe und die Einkommen der Kommunen zu stärken .","So fordert [START] der Antrag [END] , [START] ein Einwanderungsgesetz [END] für [START] mehr Fachkräfte [END] auf [START] den Weg [END] zu bringen , um auf [START] diese Weise [END] [START] die örtlichen Wirtschaftsbetriebe [END] und [START] die Einkommen [END] [START] der Kommunen [END] zu stärken .","['O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O']","[0, 0, 1, 0, 0, 1, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",
Das gerade beschlossene Einwanderungsgesetz geht den Liberalen offenbar nicht weit genug .,[START] Das gerade beschlossene Einwanderungsgesetz [END] geht [START] den Liberalen [END] offenbar nicht weit genug .,"['B', 'I', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O']","[0, 1]",,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",
