Sentence,Tagged_Sentence,BIO_tags,Animated_NP,Animated_Prob_NP,Animated_Token,Animated_Prob_Token
"Wie das dann in den nächsten Monaten weitergehen wird , werden wir hier diskutieren ; das haben wir ja auch schon angekündigt .","Wie [START] das [END] dann in [START] den nächsten Monaten [END] weitergehen wird , werden [START] wir [END] hier diskutieren ; [START] das [END] haben [START] wir [END] ja auch schon angekündigt .","['O', 'B', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Ich persönlich bin in dieser Hinsicht in vielen Richtungen offen .,[START] Ich [END] persönlich bin in [START] dieser Hinsicht [END] in [START] vielen Richtungen [END] offen .,"['B', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wichtig ist aber , dass wir Elektromobilität steuerlich fördern .","Wichtig ist aber , dass [START] wir [END] [START] Elektromobilität [END] steuerlich fördern .","['O', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Ich beantworte das etwas allgemeiner , sage Ihnen aber zu , dass wir im Verkehrsausschuss und zusammen mit der Bundesregierung darüber natürlich noch rechtzeitig sprechen werden .","[START] Ich [END] beantworte [START] das etwas [END] allgemeiner , sage [START] Ihnen [END] aber zu , dass [START] wir [END] im [START] Verkehrsausschuss [END] und zusammen mit [START] der Bundesregierung [END] darüber natürlich noch rechtzeitig sprechen werden .","['B', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Kommen wir zurück zum Thema .,Kommen [START] wir [END] zurück zum [START] Thema [END] .,"['O', 'B', 'O', 'O', 'B', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0]",
Ich kann mit Blick auf Ihre Frage an den nächsten Punkt anknüpfen .,[START] Ich [END] kann mit [START] Blick [END] auf [START] Ihre Frage [END] an [START] den nächsten Punkt [END] anknüpfen .,"['B', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Kein Autofahrer wird auf ein Elektroauto umsteigen , wenn er sich jedes Mal Sorgen machen muss , ob er das Auto aufladen kann .","[START] Kein Autofahrer [END] wird auf [START] ein Elektroauto [END] umsteigen , wenn [START] er [END] [START] sich [END] [START] jedes Mal [END] [START] Sorgen [END] machen muss , ob [START] er [END] [START] das Auto [END] aufladen kann .","['B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'B', 'B', 'I', 'B', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Deswegen ist eines unserer Ziele , dass das Laden eines Elektroautos so einfach sein wird , wie man das vom Tanken kennt , vielleicht sogar noch einfacher , wenn man seine eigene Ladestation zu Hause hat .","Deswegen ist [START] eines [END] [START] unserer Ziele [END] , dass [START] das Laden [END] [START] eines Elektroautos [END] so einfach sein wird , wie [START] man [END] das vom [START] Tanken [END] kennt , vielleicht sogar noch einfacher , wenn [START] man [END] [START] seine eigene Ladestation [END] zu [START] Hause [END] hat .","['O', 'O', 'B', 'B', 'I', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Das muss unser Ziel sein .,[START] Das [END] muss [START] unser Ziel [END] sein .,"['B', 'O', 'B', 'I', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0]",
"Wenn wir über batteriebetriebene Elektroautos sprechen , dann hört man häufig – das waren ja heute wieder die Vorwürfe aus der AfD-Fraktion , und auch bei der FDP hat man das gehört – : Batteriebetriebene Elektroautos seien gar nicht klimafreundlich ; denn entweder seien sie mit Strom aus Braunkohle unterwegs , oder die Entsorgung der Batterien sei klimaschädlich .","Wenn [START] wir [END] über [START] batteriebetriebene Elektroautos [END] sprechen , dann hört [START] man [END] häufig – [START] das [END] waren ja heute wieder [START] die Vorwürfe [END] aus [START] der AfD-Fraktion [END] , und auch bei [START] der FDP [END] hat [START] man [END] [START] das [END] gehört – : [START] Batteriebetriebene Elektroautos [END] seien gar nicht klimafreundlich ; denn entweder seien [START] sie [END] mit [START] Strom [END] aus [START] Braunkohle [END] unterwegs , oder [START] die Entsorgung [END] [START] der Batterien [END] sei klimaschädlich .","['O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Deswegen solle man darauf nicht setzen .,Deswegen solle [START] man [END] darauf nicht setzen .,"['O', 'O', 'B', 'O', 'O', 'O', 'O']",[0],,"[0, 0, 0, 0, 0, 0, 0]",
"– Ich kann ganz klar sagen : Natürlich sind Elektroautos für die Umwelt nur dann gut , wenn sie mit Wind- , Wasser- oder Solarstrom betrieben werden ; denn ansonsten erfolgt der Schadstoffausstoß woanders .","– [START] Ich [END] kann ganz klar sagen : Natürlich sind [START] Elektroautos [END] für [START] die Umwelt [END] nur dann gut , wenn [START] sie [END] mit [START] Wind- , Wasser- oder Solarstrom [END] betrieben werden ; denn ansonsten erfolgt [START] der Schadstoffausstoß [END] woanders .","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Es muss unser Ziel sein , die Klimafreundlichkeit noch weiter auszubauen .","[START] Es [END] muss [START] unser Ziel [END] sein , [START] die Klimafreundlichkeit [END] noch weiter auszubauen .","['B', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Natürlich steht und fällt der umweltpolitische Beitrag von Elektroautos auch damit , ob es gelingt , ein nachhaltiges Recyclingsystem zu etablieren und Nachnutzungskonzepte zu implementieren .","Natürlich steht und fällt [START] der umweltpolitische Beitrag [END] von [START] Elektroautos [END] auch damit , ob [START] es [END] gelingt , [START] ein nachhaltiges Recyclingsystem [END] zu etablieren und [START] Nachnutzungskonzepte [END] zu implementieren .","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Und das , meine Damen und Herren , ist möglich ; Sie haben hier den völlig gegenteiligen Eindruck erweckt .","Und [START] das [END] , [START] meine Damen [END] und [START] Herren [END] , ist möglich ; [START] Sie [END] haben hier [START] den völlig gegenteiligen Eindruck [END] erweckt .","['O', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Dafür brauchen wir politisch vorgegebene Standards für das technische Design der Batterien – da findet im Moment noch viel zu viel individuell statt – , und wir müssen dem Normungsbedarf für die Wiederverwertung der Autobatterien gerecht werden und die Wiederverwertung etablieren .","Dafür brauchen [START] wir [END] [START] politisch vorgegebene Standards [END] für [START] das technische Design [END] [START] der Batterien [END] – da findet im [START] Moment [END] noch [START] viel zu viel [END] individuell statt – , und [START] wir [END] müssen [START] dem Normungsbedarf [END] für [START] die Wiederverwertung [END] [START] der Autobatterien [END] gerecht werden und [START] die Wiederverwertung [END] etablieren .","['O', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Außerdem brauchen wir eine hohe Recyclingquote für die in der Batterie enthaltenen Materialien .,Außerdem brauchen [START] wir [END] [START] eine hohe Recyclingquote [END] für die in [START] der Batterie [END] enthaltenen Materialien .,"['O', 'O', 'B', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Aber die Autobauer , die auf Elektromobilität setzen , sind heute schon in der Lage , mehr als 50 Prozent zu recyceln .","Aber [START] die Autobauer [END] , [START] die [END] auf [START] Elektromobilität [END] setzen , sind heute schon in [START] der Lage [END] , [START] mehr als 50 Prozent [END] zu recyceln .","['O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Viele sagen ganz klar , dass sie es bald schaffen werden , annähernd 100 Prozent zu recyceln .","[START] Viele [END] sagen ganz klar , dass [START] sie [END] [START] es [END] bald schaffen werden , [START] annähernd 100 Prozent [END] zu recyceln .","['B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Das muss der Weg sein .,[START] Das [END] muss [START] der Weg [END] sein .,"['B', 'O', 'B', 'I', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0]",
"Alles andere , was Sie hier vorgeschlagen haben , wäre klimapolitisch der völlig falsche Weg .","[START] Alles andere [END] , [START] was [END] [START] Sie [END] hier vorgeschlagen haben , wäre klimapolitisch [START] der völlig falsche Weg [END] .","['B', 'I', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Deswegen müssen wir auf Elektromobilität setzen , wenn wir den Verkehr in Deutschland umweltfreundlicher gestalten wollen .","Deswegen müssen [START] wir [END] auf [START] Elektromobilität [END] setzen , wenn [START] wir [END] [START] den Verkehr [END] in [START] Deutschland [END] umweltfreundlicher gestalten wollen .","['O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Meine Damen und Herren , wir alle wissen : Wir haben hier mit die besten Ingenieure in der Welt .","[START] Meine Damen [END] und [START] Herren [END] , [START] wir [END] [START] alle [END] wissen : [START] Wir [END] haben hier mit [START] die besten Ingenieure [END] in [START] der Welt [END] .","['B', 'I', 'O', 'B', 'O', 'B', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wir können , wenn wir es wollen , mit Investitionen in neue Technologien und in die Forschung an der Spitze des Fortschritts stehen .","[START] Wir [END] können , wenn [START] wir [END] [START] es [END] wollen , mit [START] Investitionen [END] in [START] neue Technologien [END] und in [START] die Forschung [END] an [START] der Spitze [END] [START] des Fortschritts [END] stehen .","['B', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Das muss der Anspruch sein .,[START] Das [END] muss [START] der Anspruch [END] sein .,"['B', 'O', 'B', 'I', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0]",
"Wir , die CDU / CSU-Fraktion , setzen nicht auf Fahrverbote oder Gängelung der Bürger .","[START] Wir [END] , [START] die CDU [END] [START] / [END] [START] CSU-Fraktion [END] , setzen nicht auf [START] Fahrverbote [END] oder [START] Gängelung [END] [START] der Bürger [END] .","['B', 'O', 'B', 'I', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Wir setzen auf Innovationen .,[START] Wir [END] setzen auf [START] Innovationen [END] .,"['B', 'O', 'O', 'B', 'O']","[0, 0]",,"[0, 0, 0, 0, 0]",
Damit machen wir Deutschland noch mobiler und noch klimafreundlicher .,Damit machen [START] wir [END] [START] Deutschland [END] noch mobiler und noch klimafreundlicher .,"['O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Herzlichen Dank .,[START] Herzlichen Dank [END] .,"['B', 'I', 'O']",[0],,"[0, 0, 0]",
"Vielen Dank , Dr. Christoph Ploß .","Vielen Dank , [START] Dr. Christoph Ploß [END] .","['O', 'O', 'O', 'B', 'I', 'I', 'O']",[0],,"[0, 0, 0, 0, 0, 0, 0]",
"– Schönen guten Abend , liebe Kolleginnen und Kollegen !","– [START] Schönen [END] guten Abend , [START] liebe Kolleginnen [END] und [START] Kollegen [END] !","['O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
– Nächster Redner für die SPD-Fraktion : Johann Saathoff .,[START] – Nächster Redner [END] für [START] die SPD-Fraktion [END] : Johann Saathoff .,"['B', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Sehr verehrter Herr Präsident !,[START] Sehr verehrter Herr Präsident [END] !,"['B', 'I', 'I', 'I', 'O']",[0],,"[0, 0, 0, 0, 0]",
Liebe Kolleginnen und Kollegen !,[START] Liebe [END] Kolleginnen und [START] Kollegen [END] !,"['B', 'O', 'O', 'B', 'O']","[0, 0]",,"[0, 0, 0, 0, 0]",
"Die Klimakrise führt zu dramatischen Veränderungen in der Welt , schon heute , auch bei uns .","[START] Die Klimakrise [END] führt zu [START] dramatischen Veränderungen [END] in [START] der Welt [END] , schon heute , auch bei [START] uns [END] .","['B', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wir alle sehen die Bilder aus Kalifornien , Bilder wie aus einem apokalyptischen Hollywood-Movie : der Himmel in toxischem Orange .","[START] Wir [END] [START] alle [END] sehen [START] die Bilder [END] aus [START] Kalifornien [END] , [START] Bilder [END] wie aus [START] einem apokalyptischen Hollywood-Movie [END] : [START] der Himmel [END] in [START] toxischem Orange [END] .","['B', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Gleichzeitig – davon sehen wir leider weniger Bilder – ertrinkt das östliche Afrika gerade in braunen Fluten .,Gleichzeitig – davon sehen [START] wir [END] leider [START] weniger Bilder [END] – ertrinkt [START] das östliche Afrika [END] gerade in [START] braunen Fluten [END] .,"['O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"2,5 Millionen Menschen sind davon betroffen , Hunderttausende auf der Flucht .","[START] 2,5 Millionen Menschen [END] sind davon betroffen , Hunderttausende auf [START] der Flucht [END] .","['B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Schon heute werden innerstaatlich mehr Menschen durch die Folgen der Klimakrise vertrieben als durch Gewalt und Konflikte .,Schon heute werden innerstaatlich [START] mehr Menschen [END] durch [START] die Folgen [END] [START] der Klimakrise [END] vertrieben als durch [START] Gewalt [END] und [START] Konflikte [END] .,"['O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Am härtesten trifft es den Globalen Süden und damit just jene Regionen , die historisch am allerallerwenigsten zur Erderwärmung beigetragen haben .","Am härtesten trifft [START] es [END] [START] den Globalen Süden [END] und [START] damit just jene Regionen [END] , [START] die [END] historisch am [START] allerallerwenigsten [END] zur [START] Erderwärmung [END] beigetragen haben .","['O', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Darum ist die Klimakrise auch und vor allem eine Krise der globalen Gerechtigkeit .,Darum ist [START] die Klimakrise [END] auch und vor [START] allem [END] eine Krise [START] der globalen Gerechtigkeit [END] .,"['O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Der neue WeltRisikoBericht – vor ein paar Tagen erschienen – bestätigt : Die Zahl extremer Wetterereignisse nimmt zu , Wüsten breiten sich aus , der Meeresspiegel steigt , fruchtbare Böden versalzen , der Permafrost taut ab .","[START] Der neue WeltRisikoBericht [END] – vor [START] ein paar Tagen [END] erschienen – bestätigt : [START] Die Zahl [END] [START] extremer Wetterereignisse [END] nimmt zu , [START] Wüsten [END] breiten [START] sich [END] aus , [START] der Meeresspiegel [END] steigt , [START] fruchtbare Böden [END] versalzen , [START] der Permafrost [END] taut ab .","['B', 'I', 'I', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Hinzu kommt nun auch noch die weltweite Coronapandemie .,Hinzu kommt nun auch [START] noch die weltweite Coronapandemie [END] .,"['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O']",[0],,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",
Sie verschärft ja auch die Situation in vielen Ländern und wird mit der Klimakrise zusammen zu einem lebensbedrohlichen Gemisch .,[START] Sie [END] verschärft ja [START] auch die Situation [END] in [START] vielen Ländern [END] und wird mit [START] der Klimakrise [END] zusammen zu [START] einem lebensbedrohlichen Gemisch [END] .,"['B', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Liebe Kolleginnen und Kollegen , es ist allerhöchste Zeit , die millionenfache klimabedingte Flucht und Vertreibung endlich wahr- und endlich ernst zu nehmen .","[START] Liebe [END] Kolleginnen und [START] Kollegen [END] , [START] es [END] ist [START] allerhöchste Zeit [END] , [START] die millionenfache klimabedingte Flucht [END] und [START] Vertreibung [END] endlich wahr- und endlich ernst zu nehmen .","['B', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Es ist höchste Zeit – höchste Zeit !,[START] Es [END] ist [START] höchste Zeit [END] – [START] höchste Zeit [END] !,"['B', 'O', 'B', 'I', 'O', 'B', 'I', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0]",
"– , über die eigenen Grenzen hinwegzublicken , statt sich von der Pandemie des Nationalismus anstecken zu lassen , gerade im 75 Jubiläumsjahr der Vereinten Nationen .","– , über [START] die eigenen Grenzen [END] hinwegzublicken , statt [START] sich [END] von [START] der Pandemie [END] [START] des Nationalismus [END] anstecken zu lassen , gerade im [START] 75 Jubiläumsjahr [END] [START] der Vereinten Nationen [END] .","['O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Unsere oberste Priorität muss sein , die Klimakrise radikal einzudämmen , damit Menschen ihre Heimat erst gar nicht verlieren .","[START] Unsere oberste Priorität [END] muss sein , [START] die Klimakrise [END] radikal einzudämmen , damit [START] Menschen [END] [START] ihre Heimat [END] erst gar nicht verlieren .","['B', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Gleichzeitig brauchen aber die betroffenen Länder dringend unsere Unterstützung .,Gleichzeitig brauchen aber [START] die betroffenen Länder [END] dringend [START] unsere Unterstützung [END] .,"['O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Die globale Klima- und Entwicklungsagenda müssen viel konsequenter miteinander verzahnt werden , die internationale Klimafinanzierung massiv aufgestockt und die Schulden den ärmsten Staaten endlich erlassen werden .","[START] Die globale Klima- und Entwicklungsagenda [END] müssen viel konsequenter miteinander verzahnt werden , [START] die internationale Klimafinanzierung [END] massiv aufgestockt und [START] die Schulden [END] [START] den ärmsten Staaten [END] endlich erlassen werden .","['B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'O', 'O', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Warum ?,Warum ?,"['O', 'O']",[],,"[0, 0]",
"Um damit Gesundheitssysteme und Resilienz aufzubauen , um Schäden und Verluste zu kompensieren , um Menschen Perspektiven zu bieten .","Um damit [START] Gesundheitssysteme [END] und [START] Resilienz [END] aufzubauen , um [START] Schäden [END] und [START] Verluste [END] zu kompensieren , um [START] Menschen [END] [START] Perspektiven [END] zu bieten .","['O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
